ID (Station ID),Station Names,Dist. From First Station(km),Metro Line,Opened(Year),Layout,Latitude,Longitude,Connection1,Connection2
23,Badarpur Border,26.3,Violet line,14-01-2011,Elevated,28.49334,77.30307,None,None
24,Sarai,28.8,Violet line,06-09-2015,Elevated,28.4781,77.3049,None,None
25,N.H.P.C. Chowk,30.4,Violet line,06-09-2015,Elevated,28.45766,77.307422,None,None
26,Mewala Maharajpur,31.3,Violet line,06-09-2015,Elevated,28.4418747,77.3023001,None,None
27,Sector 28 Faridabad,32.5,Violet line,06-09-2015,Elevated,28.4334,77.3142,None,None
28,Badkal Mor,34.2,Violet line,06-09-2015,Elevated,28.422814,77.310278,None,None
29,Old Faridabad,35.4,Violet line,06-09-2015,Elevated,28.4108,77.3115,None,None
30,Neelam Chowk Ajronda,37,Violet line,06-09-2015,Elevated,28.3974824,77.3123599,None,None
31,Bata Chowk,38.3,Violet line,06-09-2015,Elevated,28.3858361,77.313462,None,None
32,Escorts Mujesar,40.1,Violet line,06-09-2015,Elevated,28.3702344,77.3149203,None,None
33,Sant Surdas - Sihi,41.8,Violet line,19-11-2018,Elevated,28.3546513,77.3162264,Blue,None
34,Raja Nahar Singh,43.5,Violet line,19-11-2018,Elevated,28.3400192,77.3164281,None,None
1,Janak Puri West [Conn: Blue],0,Magenta line,29-05-2018,Underground,28.6289502,77.0779235,None,None
2,Dabri Mor - Janakpuri South,2,Magenta line,29-05-2018,Underground,28.6157555,77.085178,None,None
3,Dashrath Puri,3.1,Magenta line,29-05-2018,Underground,28.6018751,77.0823561,None,None
4,Palam,4.6,Magenta line,29-05-2018,Underground,28.5918933,77.0828242,None,None
5,Sadar Bazaar Cantonment,7.2,Magenta line,29-05-2018,Elevated,28.5771509,77.1111533,None,None
6,Terminal 1 IGI Airport,8.9,Magenta line,29-05-2018,Underground,28.5771509,77.1111533,None,None
7,Shankar Vihar,10.7,Magenta line,29-05-2018,Elevated,28.55743865,77.13966549,None,None
8,Vasant Vihar,12.8,Magenta line,29-05-2018,Underground,28.56069055,77.16079073,None,None
9,Munirka,14,Magenta line,29-05-2018,Underground,28.554886,77.1710841,None,None
10,RK Puram,15.4,Magenta line,29-05-2018,Underground,28.5514261,77.1847012,Yellow,None
11,IIT Delhi,16.3,Magenta line,29-05-2018,Underground,28.544788,77.18987,None,None
12,Hauz Khas [Conn: Yellow],17.5,Magenta line,29-05-2018,Underground,28.5442564,77.2067072,None,None
13,Panchsheel Park,19,Magenta line,29-05-2018,Underground,28.5433525,77.2140757,None,None
14,Chirag Delhi,19.9,Magenta line,29-05-2018,Underground,28.5381411,77.2280694,None,None
15,Greater Kailash,20.8,Magenta line,29-05-2018,Underground,28.5418777,77.2384553,Violet,None
16,Nehru Enclave,22.1,Magenta line,29-05-2018,Underground,28.5460584,77.2515057,None,None
17,Kalkaji Mandir [Conn: Violet],23,Magenta line,25-12-2017,Underground,28.5497752,77.2606671,None,None
18,Okhla NSIC,23.8,Magenta line,25-12-2017,Elevated,28.5544828,77.2648487,None,None
19,Sukhdev Vihar,24.9,Magenta line,25-12-2017,Elevated,28.5597477,77.2749004,None,None
20,JAMIA MILLIA ISLAMIA,26.1,Magenta line,25-12-2017,Elevated,28.55849025,77.28116474,None,None
21,Okhla Vihar,26.6,Magenta line,25-12-2017,Elevated,28.5613002,77.2919304,None,None
22,Jasola Vihar Shaheen Bagh,28.4,Magenta line,25-12-2017,Elevated,28.5458279,77.2966578,None,None
23,Kalindi Kunj,29.8,Magenta line,25-12-2017,Elevated,28.5452187,77.3059891,Blue,None
24,Okhla Bird Sanctuary,31.4,Magenta line,25-12-2017,Elevated,28.5529418,77.321595,None,None
25,Botanical Garden [Conn: Blue],33.1,Magenta line,25-12-2017,Elevated,28.5638964,77.334332,Yellow,None
1,Majlis Park,0,Pink line,14-03-2018,Elevated,28.7244312,77.181964,None,None
2,Azadpur [Conn: Yellow],2.1,Pink line,14-03-2018,Underground,28.7076568,77.1755473,Red,None
3,Shalimar Bagh,3.7,Pink line,14-03-2018,Underground,28.71745265,77.15086655,None,None
4,Netaji Subash Place [Conn: Red],5.1,Pink line,14-03-2018,Underground,28.69605175,77.15264042,None,None
5,Shakurpur,6.3,Pink line,14-03-2018,Elevated,28.6857668,77.1496094,None,None
6,Punjabi Bagh West,7.7,Pink line,14-03-2018,Elevated,28.6703201,77.1420875,Blue,None
7,ESI BASAI DARAPUR,10.2,Pink line,14-03-2018,Elevated,28.6580737,77.1272678,None,None
8,Rajouri Garden [Conn: Blue],11.3,Pink line,14-03-2018,Elevated,28.64902,77.1227,None,None
9,Maya Puri,12.8,Pink line,14-03-2018,Elevated,28.6371795,77.1297333,None,None
10,Naraina Vihar,14.3,Pink line,14-03-2018,Underground,28.6273375,77.1403175,Orange,None
11,Delhi Cantt,16.1,Pink line,14-03-2018,Elevated,28.6087,77.1404,None,None
12,Durgabai Deshmukh South Campus [Conn: Orange],19.7,Pink line,14-03-2018,Elevated,28.5894384,77.1690817,None,None
13,Sir Vishweshwaraiah Moti Bagh,21,Pink line,06-08-2018,Elevated,28.5785326,77.175741,None,None
14,Bhikaji Cama Place,22.6,Pink line,06-08-2018,Underground,28.56790025,77.18701648,Yellow,None
15,Sarojini Nagar,23.8,Pink line,06-08-2018,Underground,28.5741575,77.1953703,None,None
